STATS_YM,STATS_RM_CN,ACDMCR_TY_NM,RANK_NM,CNSLT_CN,CNSLT_CN_VALUE
201905,2019년1월1일~5월31일,중학교,10위,-,0
201905,2019년1월1일~5월31일,중학교,11위,-,0
201905,2019년1월1일~5월31일,고등학교,1위,진로,40.9
201905,2019년1월1일~5월31일,고등학교,2위,일탈 및 비행,19.3
201905,2019년1월1일~5월31일,고등학교,3위,생활습관/외모,10.8
201905,2019년1월1일~5월31일,고등학교,4위,학업,8.3
201905,2019년1월1일~5월31일,고등학교,5위,대인관계,7.4
201905,2019년1월1일~5월31일,고등학교,6위,성격,4.1
201905,2019년1월1일~5월31일,고등학교,7위,기타,3.4
201905,2019년1월1일~5월31일,고등학교,8위,성,3.2
201905,2019년1월1일~5월31일,고등학교,9위,가족,2.1
201905,2019년1월1일~5월31일,고등학교,10위,인터넷/스마트폰,0.2
201905,2019년1월1일~5월31일,고등학교,11위,정신건강,0.2
201809,2018년1월1일~9월30일,초등학교,1위,대인관계,48.2
201809,2018년1월1일~9월30일,초등학교,2위,기타,23.7
201809,2018년1월1일~9월30일,초등학교,3위,학업,8.7
201809,2018년1월1일~9월30일,초등학교,4위,진로,4.3
201809,2018년1월1일~9월30일,초등학교,5위,생활습관/외모,4.3
201809,2018년1월1일~9월30일,초등학교,6위,성격,3.7
201809,2018년1월1일~9월30일,초등학교,7위,가족,3
201809,2018년1월1일~9월30일,초등학교,8위,인터넷/스마트폰,2.3
201809,2018년1월1일~9월30일,초등학교,9위,정신건강,1.3
201809,2018년1월1일~9월30일,초등학교,10위,성,0.3
201809,2018년1월1일~9월30일,초등학교,11위,-,0
201809,2018년1월1일~9월30일,중학교,1위,대인관계,51.1
201809,2018년1월1일~9월30일,중학교,2위,학업,13.1
201809,2018년1월1일~9월30일,중학교,3위,진로,8.7
201809,2018년1월1일~9월30일,중학교,4위,기타,7.2
201809,2018년1월1일~9월30일,중학교,5위,인터넷/스마트폰,6.1
201809,2018년1월1일~9월30일,중학교,6위,가족,5.1
201809,2018년1월1일~9월30일,중학교,7위,정신건강,3.8
201809,2018년1월1일~9월30일,중학교,8위,생활습관/외모,2.7
201809,2018년1월1일~9월30일,중학교,9위,성격,1.6
201809,2018년1월1일~9월30일,중학교,10위,성,0.4
201809,2018년1월1일~9월30일,중학교,11위,일탈 및 비행,0.3
201809,2018년1월1일~9월30일,고등학교,1위,대인관계,43.3
201809,2018년1월1일~9월30일,고등학교,2위,학업,21.6
201809,2018년1월1일~9월30일,고등학교,3위,진로,10.6
201809,2018년1월1일~9월30일,고등학교,4위,가족,6.6
201809,2018년1월1일~9월30일,고등학교,5위,기타,6.1
201809,2018년1월1일~9월30일,고등학교,6위,생활습관/외모,3.7
201809,2018년1월1일~9월30일,고등학교,7위,정신건강,3
201809,2018년1월1일~9월30일,고등학교,8위,성격,2.2
201809,2018년1월1일~9월30일,고등학교,9위,인터넷/스마트폰,1.9
201809,2018년1월1일~9월30일,고등학교,10위,일탈 및 비행,0.7
201809,2018년1월1일~9월30일,고등학교,11위,성,0.2
201807,2018년1월1일~7월31일,초등학교,1위,대인관계,49.8
201807,2018년1월1일~7월31일,초등학교,2위,기타,23
201807,2018년1월1일~7월31일,초등학교,3위,학업,8.8
201807,2018년1월1일~7월31일,초등학교,4위,진로,5
201807,2018년1월1일~7월31일,초등학교,5위,생활습관/외모,4.2
201807,2018년1월1일~7월31일,초등학교,6위,성격,3.8
201807,2018년1월1일~7월31일,초등학교,7위,인터넷/스마트폰,2.5
201807,2018년1월1일~7월31일,초등학교,8위,가족,1.7
201807,2018년1월1일~7월31일,초등학교,9위,정신건강,0.8
201807,2018년1월1일~7월31일,초등학교,10위,성,0.4
201807,2018년1월1일~7월31일,초등학교,11위,-,0
201807,2018년1월1일~7월31일,중학교,1위,대인관계,50.9
201807,2018년1월1일~7월31일,중학교,2위,학업,13
201807,2018년1월1일~7월31일,중학교,3위,진로,8.5
201807,2018년1월1일~7월31일,중학교,4위,기타,7.3
201807,2018년1월1일~7월31일,중학교,5위,인터넷/스마트폰,5.3
201807,2018년1월1일~7월31일,중학교,6위,가족,5.3
201807,2018년1월1일~7월31일,중학교,7위,정신건강,5.1
201807,2018년1월1일~7월31일,중학교,8위,생활습관/외모,2.4
201807,2018년1월1일~7월31일,중학교,9위,성격,1.8
201807,2018년1월1일~7월31일,중학교,10위,일탈 및 비행,0.4
201807,2018년1월1일~7월31일,중학교,11위,-,0
201807,2018년1월1일~7월31일,고등학교,1위,대인관계,42.1
201807,2018년1월1일~7월31일,고등학교,2위,학업,21.8
201807,2018년1월1일~7월31일,고등학교,3위,진로,11.1
201807,2018년1월1일~7월31일,고등학교,4위,가족,6.5
201807,2018년1월1일~7월31일,고등학교,5위,기타,6.5
201807,2018년1월1일~7월31일,고등학교,6위,정신건강,3.4
201807,2018년1월1일~7월31일,고등학교,7위,생활습관/외모,3.5
201807,2018년1월1일~7월31일,고등학교,8위,성격,2.1
201807,2018년1월1일~7월31일,고등학교,9위,인터넷/스마트폰,2
201807,2018년1월1일~7월31일,고등학교,10위,일탈 및 비행,0.7
201807,2018년1월1일~7월31일,고등학교,11위,성,0.2
201806,2018년1월1일~6월30일,초등학교,1위,대인관계,46.3
201806,2018년1월1일~6월30일,초등학교,2위,기타,22.4
201806,2018년1월1일~6월30일,초등학교,3위,학업,9.5
201806,2018년1월1일~6월30일,초등학교,4위,진로,6.8
201806,2018년1월1일~6월30일,초등학교,5위,생활습관/외모,4.8
201806,2018년1월1일~6월30일,초등학교,6위,성격,4.8
201806,2018년1월1일~6월30일,초등학교,7위,인터넷/스마트폰,2
201806,2018년1월1일~6월30일,초등학교,8위,가족,2.7
201806,2018년1월1일~6월30일,초등학교,9위,성,0.7
201806,2018년1월1일~6월30일,초등학교,10위,-,0
201806,2018년1월1일~6월30일,초등학교,11위,-,0
201806,2018년1월1일~6월30일,중학교,1위,대인관계,52.3
201806,2018년1월1일~6월30일,중학교,2위,학업,13.1
201806,2018년1월1일~6월30일,중학교,3위,진로,8.2
201806,2018년1월1일~6월30일,중학교,4위,기타,7.3
201806,2018년1월1일~6월30일,중학교,5위,인터넷/스마트폰,5.8
201806,2018년1월1일~6월30일,중학교,6위,가족,4.9
201806,2018년1월1일~6월30일,중학교,7위,정신건강,4.3
201806,2018년1월1일~6월30일,중학교,8위,생활습관/외모,2.4
201806,2018년1월1일~6월30일,중학교,9위,성격,1.2
201806,2018년1월1일~6월30일,중학교,10위,일탈 및 비행,0.6
201806,2018년1월1일~6월30일,중학교,11위,-,0
201806,2018년1월1일~6월30일,고등학교,1위,대인관계,42.9
201806,2018년1월1일~6월30일,고등학교,2위,학업,19.9
201806,2018년1월1일~6월30일,고등학교,3위,진로,11.6
201806,2018년1월1일~6월30일,고등학교,4위,가족,7.3
201806,2018년1월1일~6월30일,고등학교,5위,기타,7
201806,2018년1월1일~6월30일,고등학교,6위,정신건강,3.9
201806,2018년1월1일~6월30일,고등학교,7위,생활습관/외모,3.1
201806,2018년1월1일~6월30일,고등학교,8위,성격,1.9
201806,2018년1월1일~6월30일,고등학교,9위,인터넷/스마트폰,1.5
201806,2018년1월1일~6월30일,고등학교,10위,일탈 및 비행,0.7
201806,2018년1월1일~6월30일,고등학교,11위,성,0.3
201804,2018년1월1일~4월30일,초등학교,1위,대인관계,30.2
201804,2018년1월1일~4월30일,초등학교,2위,기타,20.8
201804,2018년1월1일~4월30일,초등학교,3위,학업,15.1
201804,2018년1월1일~4월30일,초등학교,4위,성격,9.4
201804,2018년1월1일~4월30일,초등학교,5위,생활습관/외모,7.5
201804,2018년1월1일~4월30일,초등학교,6위,진로,7.5
201804,2018년1월1일~4월30일,초등학교,7위,인터넷/스마트폰,5.7
201804,2018년1월1일~4월30일,초등학교,8위,가족,3.8
201804,2018년1월1일~4월30일,초등학교,9위,-,0
201804,2018년1월1일~4월30일,초등학교,10위,-,0
201804,2018년1월1일~4월30일,초등학교,11위,-,0
201804,2018년1월1일~4월30일,중학교,1위,대인관계,44.6
201804,2018년1월1일~4월30일,중학교,2위,학업,20.6
201804,2018년1월1일~4월30일,중학교,3위,기타,7.8
201804,2018년1월1일~4월30일,중학교,4위,진로,7.8
201804,2018년1월1일~4월30일,중학교,5위,가족,4.3
